Model,Feature Set,Accuracy,Precision,Recall,F1,Time (s)
KNN,tfidf,0.8224323274187282,0.7335693737552555,0.9520390580126364,0.8286464191976003,6.3
KNN,embeddings,0.9458619349825153,0.9642424242424242,0.9138426191843768,0.9383662636390445,3.25
Logistic Regression,bow,0.9825152182359798,0.9863411798895669,0.9747271682940839,0.9804997833309259,0.62
Logistic Regression,tfidf,0.9835513534516255,0.9889245118041388,0.9744399770246984,0.9816288152755678,0.21
Logistic Regression,embeddings,0.966584639295428,0.9683323649041256,0.9572085008615738,0.962738301559792,0.79
Random Forest,bow,0.978500194275353,0.9940405244338498,0.95807007466973,0.9757238958759872,13.35
Random Forest,tfidf,0.9800543970988214,0.9928909952606635,0.9626651349798966,0.9775444736074658,15.79
Random Forest,embeddings,0.9446962828649139,0.9504570923031554,0.9256174612291787,0.9378728357340317,3.58
Neural Network,bow,0.9808314985105556,0.977650429799427,0.9798966111430213,0.97877223178428,16.7
Neural Network,tfidf,0.9817381168242456,0.9821067821067822,0.9773118897185525,0.9797034691233626,17.8
Neural Network,embeddings,0.9721538660795234,0.9805825242718447,0.9572085008615738,0.9687545414910623,19.47
